from_venue	to_venue	to_display_name	mentions	same_discipline	to_coverage	to_tier	to_region
annual-review-of-economics	academy-of-management-annals	Academy of Management Annals	2	no	depth	field	international
annual-review-of-psychology	psychological-bulletin	Psychological Bulletin	9	yes	depth	flagship psych (review)	international
annual-review-of-psychology	psychological-science	Psychological Science	6	yes	depth	field	international
annual-review-of-psychology	perspectives-on-psychological-science	Perspectives on Psychological Science	5	yes	depth	field	international
annual-review-of-sociology	american-journal-of-sociology	American Journal of Sociology	11	yes	depth	top-3 sociology	international
annual-review-of-sociology	american-sociological-review	American Sociological Review	11	yes	depth	top-3 sociology	international
annual-review-of-sociology	sociological-theory	Sociological Theory	8	yes	depth	field	international
annual-review-of-sociology	annual-review-of-psychology	Annual Review of Psychology	3	no	depth	field	international
annual-review-of-sociology	demography	Demography	2	no	depth	field	international
artificial-intelligence-and-statistics	aistats	AISTATS	13	no	depth	field	international
artificial-intelligence-and-statistics	colt	COLT	2	no	depth	field	international
artificial-intelligence-and-statistics	uai	UAI	2	no	depth	field	international
ase	fse	FSE	21	yes	depth	field	international
ase	issta	ISSTA	19	yes	depth	field	international
ase	icse	ICSE	15	yes	depth	field	international
ase	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	2	no	breadth	field	international
asian-conference-on-computer-vision	eccv	ECCV	4	no	depth	field	international
asian-conference-on-computer-vision	wacv	WACV	4	no	depth	field	international
asian-conference-on-computer-vision	cvpr	CVPR	2	no	depth	field	international
asian-conference-on-computer-vision	iccv	ICCV	2	no	depth	field	international
asian-conference-on-machine-learning	wsdm	WSDM	2	no	depth	field	international
asplos	isca	ISCA	11	yes	depth	field	international
asplos	sosp	SOSP	10	yes	depth	field	international
asplos	pldi	PLDI	9	yes	depth	field	international
asplos	micro	MICRO	8	yes	depth	field	international
asplos	eurosys	EuroSys	7	yes	depth	field	international
asplos	osdi	OSDI	7	yes	depth	field	international
asplos	hpca	HPCA	5	yes	depth	field	international
asplos	popl	POPL	5	yes	depth	field	international
astronomy-and-astrophysics	monthly-notices-of-the-royal-astronomical-society	Monthly Notices of the Royal Astronomical Society	2	yes	breadth	field	international
astrophysical-journal-letters	the-astrophysical-journal	The Astrophysical Journal	5	yes	breadth	field	international
